No;Dependen_1;Dependen_2;Dependen_3;Dependen_4;Independen_1;Independen_2
1;-0.033618915;-0.067193941;-0.03746245;-0.033751199;Marsh;F
2;-0.035621655;-0.068919044;-0.036006055;-0.038065264;Marsh;F
3;-0.038751301;-0.069049012;-0.038031067;-0.039790251;Marsh;F
4;-0.041072954;-0.06645499;-0.042693537;-0.033025393;Marsh;F
5;-0.038545966;-0.071246509;-0.039300589;-0.042058975;Marsh;F
6;-0.032692796;-0.067891775;-0.038487338;-0.037303576;Marsh;F
7;-0.041791887;-0.076019041;-0.044421097;-0.043175814;Marsh;F
8;-0.035998639;-0.067142385;-0.038934329;-0.036745547;Marsh;F
9;-0.033633411;-0.063105468;-0.038363843;-0.031386548;Marsh;F
10;-0.035578898;-0.06507277;-0.039830117;-0.036102349;Marsh;F
11;-0.034156249;-0.071034139;-0.035461421;-0.040066528;Marsh;F
12;-0.034002715;-0.069738321;-0.036445311;-0.039904529;Marsh;F
13;-0.032096845;-0.063724146;-0.037155216;-0.035307168;Marsh;F
14;-0.034330795;-0.061961393;-0.04053673;-0.028791022;Marsh;F
15;-0.040164702;-0.068218564;-0.041804803;-0.038230964;Marsh;F
16;-0.038650143;-0.070338162;-0.039984962;-0.040568313;Marsh;F
17;-0.035213217;-0.07013947;-0.036067102;-0.042063597;Marsh;M
18;-0.043811252;-0.077485881;-0.039605139;-0.043102298;Marsh;M
19;-0.043367746;-0.073255929;-0.042822787;-0.041932103;Marsh;M
20;-0.042096012;-0.073169772;-0.044963963;-0.043442514;Marsh;M
21;-0.041428077;-0.073552184;-0.043172646;-0.039505966;Marsh;M
22;-0.042913935;-0.077048378;-0.042204109;-0.044389615;Marsh;M
23;-0.048264814;-0.072888003;-0.046100201;-0.041292571;Marsh;M
24;-0.045937774;-0.078822856;-0.045409611;-0.044658832;Marsh;M
25;-0.051061141;-0.077420375;-0.050303869;-0.046227357;Marsh;M
26;-0.041484452;-0.071918871;-0.043615717;-0.039295058;Marsh;M
27;-0.044897981;-0.074282332;-0.042663409;-0.040764679;Marsh;M
28;-0.044680551;-0.07449211;-0.042980849;-0.041905705;Marsh;M
29;-0.050074802;-0.077318569;-0.048306915;-0.046486439;Marsh;M
30;-0.042134891;-0.072130906;-0.044035977;-0.032241178;Sinkhole;F
31;-0.029947287;-0.062859147;-0.037391678;-0.024936656;Sinkhole;F
32;-0.03732782;-0.066486872;-0.037201258;-0.028832866;Sinkhole;F
33;-0.028912729;-0.062699956;-0.038529559;-0.025830491;Sinkhole;F
34;-0.040296057;-0.070538131;-0.040952938;-0.036639849;Sinkhole;F
35;-0.036899386;-0.069376068;-0.040486927;-0.036690342;Sinkhole;F
36;-0.032523327;-0.059935791;-0.037620226;-0.022400885;Sinkhole;F
37;-0.042549867;-0.068962542;-0.04533928;-0.039324535;Sinkhole;F
38;-0.038089007;-0.057013573;-0.043894766;-0.018180887;Sinkhole;F
39;-0.039120899;-0.069789645;-0.038942746;-0.037238876;Sinkhole;F
40;-0.040890795;-0.068138368;-0.045985772;-0.031546221;Sinkhole;F
41;-0.039144821;-0.069425898;-0.039985365;-0.035476485;Sinkhole;F
42;-0.0413413;-0.06798291;-0.045242958;-0.033023415;Sinkhole;M
43;-0.038981393;-0.066953448;-0.044931158;-0.030222597;Sinkhole;M
44;-0.04119856;-0.071915996;-0.04129183;-0.034274082;Sinkhole;M
45;-0.037911515;-0.071080496;-0.042412709;-0.035940741;Sinkhole;M
46;-0.040646857;-0.062949233;-0.045646609;-0.02753708;Sinkhole;M
47;-0.035550298;-0.07525316;-0.037688962;-0.039675672;Sinkhole;M
48;-0.041162391;-0.067424467;-0.045537208;-0.026468724;Sinkhole;M
49;-0.041829157;-0.075085536;-0.040236004;-0.037065644;Sinkhole;M
50;-0.04198729;-0.076585033;-0.043994601;-0.044639091;Sinkhole;M
51;-0.039938031;-0.076870882;-0.039660495;-0.038637233;Sinkhole;M
52;-0.04254389;-0.078116557;-0.042453817;-0.042887039;Sinkhole;M
53;-0.042583869;-0.081689363;-0.041057597;-0.048633093;Sinkhole;M
54;-0.042432278;-0.083560869;-0.045431791;-0.047068254;Sinkhole;M
